qualifying_groups,m75,m78,m79,m80,m81,m82,m85,m88
"E,F,G,H,I,J,K,L",3F,3G,3E,3K,3H,3I,3J,3L
"D,F,G,H,I,J,K,L",3D,3F,3H,3K,3J,3I,3G,3L
"D,E,G,H,I,J,K,L",3D,3G,3E,3K,3H,3I,3J,3L
"D,E,F,H,I,J,K,L",3D,3F,3E,3K,3H,3I,3J,3L
"D,E,F,G,I,J,K,L",3D,3F,3E,3K,3J,3I,3G,3L
"D,E,F,G,H,J,K,L",3D,3F,3E,3K,3H,3J,3G,3L
"D,E,F,G,H,I,K,L",3D,3F,3E,3K,3H,3I,3G,3L
"D,E,F,G,H,I,J,L",3D,3F,3E,3I,3H,3J,3G,3L
"D,E,F,G,H,I,J,K",3D,3F,3E,3K,3H,3J,3G,3I
"C,F,G,H,I,J,K,L",3C,3F,3H,3K,3J,3I,3G,3L
"C,E,G,H,I,J,K,L",3C,3G,3E,3K,3H,3I,3J,3L
"C,E,F,H,I,J,K,L",3C,3F,3E,3K,3H,3I,3J,3L
"C,E,F,G,I,J,K,L",3C,3F,3E,3K,3J,3I,3G,3L
"C,E,F,G,H,J,K,L",3C,3F,3E,3K,3H,3J,3G,3L
"C,E,F,G,H,I,K,L",3C,3F,3E,3K,3H,3I,3G,3L
"C,E,F,G,H,I,J,L",3C,3F,3E,3I,3H,3J,3G,3L
"C,E,F,G,H,I,J,K",3C,3F,3E,3K,3H,3J,3G,3I
"C,D,G,H,I,J,K,L",3C,3D,3H,3K,3J,3I,3G,3L
"C,D,F,H,I,J,K,L",3D,3F,3C,3K,3H,3I,3J,3L
"C,D,F,G,I,J,K,L",3D,3F,3C,3K,3J,3I,3G,3L
"C,D,F,G,H,J,K,L",3D,3F,3C,3K,3H,3J,3G,3L
"C,D,F,G,H,I,K,L",3D,3F,3C,3K,3H,3I,3G,3L
"C,D,F,G,H,I,J,L",3D,3F,3C,3I,3H,3J,3G,3L
"C,D,F,G,H,I,J,K",3D,3F,3C,3K,3H,3J,3G,3I
"C,D,E,H,I,J,K,L",3C,3D,3E,3K,3H,3I,3J,3L
"C,D,E,G,I,J,K,L",3C,3D,3E,3K,3J,3I,3G,3L
"C,D,E,G,H,J,K,L",3C,3D,3E,3K,3H,3J,3G,3L
"C,D,E,G,H,I,K,L",3C,3D,3E,3K,3H,3I,3G,3L
"C,D,E,G,H,I,J,L",3C,3D,3E,3I,3H,3J,3G,3L
"C,D,E,G,H,I,J,K",3C,3D,3E,3K,3H,3J,3G,3I
"C,D,E,F,I,J,K,L",3D,3F,3C,3K,3I,3E,3J,3L
"C,D,E,F,H,J,K,L",3D,3F,3C,3K,3H,3E,3J,3L
"C,D,E,F,H,I,K,L",3D,3F,3C,3K,3H,3I,3E,3L
"C,D,E,F,H,I,J,L",3D,3F,3C,3I,3H,3E,3J,3L
"C,D,E,F,H,I,J,K",3D,3F,3C,3K,3H,3E,3J,3I
"C,D,E,F,G,J,K,L",3D,3F,3C,3K,3J,3E,3G,3L
"C,D,E,F,G,I,K,L",3D,3F,3C,3K,3I,3E,3G,3L
"C,D,E,F,G,I,J,L",3D,3F,3C,3I,3J,3E,3G,3L
"C,D,E,F,G,I,J,K",3D,3F,3C,3K,3J,3E,3G,3I
"C,D,E,F,G,H,K,L",3D,3F,3C,3K,3H,3E,3G,3L
"C,D,E,F,G,H,J,L",3D,3F,3C,3E,3H,3J,3G,3L
"C,D,E,F,G,H,J,K",3D,3F,3C,3K,3H,3J,3G,3E
"C,D,E,F,G,H,I,L",3D,3F,3C,3I,3H,3E,3G,3L
"C,D,E,F,G,H,I,K",3D,3F,3C,3K,3H,3E,3G,3I
"C,D,E,F,G,H,I,J",3D,3F,3C,3I,3H,3J,3G,3E
"B,F,G,H,I,J,K,L",3F,3G,3H,3K,3I,3B,3J,3L
"B,E,G,H,I,J,K,L",3B,3G,3E,3K,3H,3I,3J,3L
"B,E,F,H,I,J,K,L",3F,3H,3E,3K,3I,3B,3J,3L
"B,E,F,G,I,J,K,L",3F,3G,3E,3K,3I,3B,3J,3L
"B,E,F,G,H,J,K,L",3F,3G,3E,3K,3H,3B,3J,3L
"B,E,F,G,H,I,K,L",3F,3H,3E,3K,3I,3B,3G,3L
"B,E,F,G,H,I,J,L",3F,3G,3E,3I,3H,3B,3J,3L
"B,E,F,G,H,I,J,K",3F,3G,3E,3K,3H,3B,3J,3I
"B,D,G,H,I,J,K,L",3D,3G,3H,3K,3I,3B,3J,3L
"B,D,F,H,I,J,K,L",3D,3F,3H,3K,3I,3B,3J,3L
"B,D,F,G,I,J,K,L",3D,3F,3I,3K,3J,3B,3G,3L
"B,D,F,G,H,J,K,L",3D,3F,3H,3K,3J,3B,3G,3L
"B,D,F,G,H,I,K,L",3D,3F,3H,3K,3I,3B,3G,3L
"B,D,F,G,H,I,J,L",3D,3F,3H,3I,3J,3B,3G,3L
"B,D,F,G,H,I,J,K",3D,3F,3H,3K,3J,3B,3G,3I
"B,D,E,H,I,J,K,L",3D,3H,3E,3K,3I,3B,3J,3L
"B,D,E,G,I,J,K,L",3D,3G,3E,3K,3I,3B,3J,3L
"B,D,E,G,H,J,K,L",3D,3G,3E,3K,3H,3B,3J,3L
"B,D,E,G,H,I,K,L",3D,3H,3E,3K,3I,3B,3G,3L
"B,D,E,G,H,I,J,L",3D,3G,3E,3I,3H,3B,3J,3L
"B,D,E,G,H,I,J,K",3D,3G,3E,3K,3H,3B,3J,3I
"B,D,E,F,I,J,K,L",3D,3F,3E,3K,3I,3B,3J,3L
"B,D,E,F,H,J,K,L",3D,3F,3E,3K,3H,3B,3J,3L
"B,D,E,F,H,I,K,L",3D,3F,3E,3K,3H,3B,3I,3L
"B,D,E,F,H,I,J,L",3D,3F,3E,3I,3H,3B,3J,3L
"B,D,E,F,H,I,J,K",3D,3F,3E,3K,3H,3B,3J,3I
"B,D,E,F,G,J,K,L",3D,3F,3E,3K,3J,3B,3G,3L
"B,D,E,F,G,I,K,L",3D,3F,3E,3K,3I,3B,3G,3L
"B,D,E,F,G,I,J,L",3D,3F,3E,3I,3J,3B,3G,3L
"B,D,E,F,G,I,J,K",3D,3F,3E,3K,3J,3B,3G,3I
"B,D,E,F,G,H,K,L",3D,3F,3E,3K,3H,3B,3G,3L
"B,D,E,F,G,H,J,L",3D,3F,3H,3E,3J,3B,3G,3L
"B,D,E,F,G,H,J,K",3D,3F,3H,3K,3J,3B,3G,3E
"B,D,E,F,G,H,I,L",3D,3F,3E,3I,3H,3B,3G,3L
"B,D,E,F,G,H,I,K",3D,3F,3E,3K,3H,3B,3G,3I
"B,D,E,F,G,H,I,J",3D,3F,3H,3I,3J,3B,3G,3E
"B,C,G,H,I,J,K,L",3C,3G,3H,3K,3I,3B,3J,3L
"B,C,F,H,I,J,K,L",3C,3F,3H,3K,3I,3B,3J,3L
"B,C,F,G,I,J,K,L",3C,3F,3I,3K,3J,3B,3G,3L
"B,C,F,G,H,J,K,L",3C,3F,3H,3K,3J,3B,3G,3L
"B,C,F,G,H,I,K,L",3C,3F,3H,3K,3I,3B,3G,3L
"B,C,F,G,H,I,J,L",3C,3F,3H,3I,3J,3B,3G,3L
"B,C,F,G,H,I,J,K",3C,3F,3H,3K,3J,3B,3G,3I
"B,C,E,H,I,J,K,L",3C,3H,3E,3K,3I,3B,3J,3L
"B,C,E,G,I,J,K,L",3C,3G,3E,3K,3I,3B,3J,3L
"B,C,E,G,H,J,K,L",3C,3G,3E,3K,3H,3B,3J,3L
"B,C,E,G,H,I,K,L",3C,3H,3E,3K,3I,3B,3G,3L
"B,C,E,G,H,I,J,L",3C,3G,3E,3I,3H,3B,3J,3L
"B,C,E,G,H,I,J,K",3C,3G,3E,3K,3H,3B,3J,3I
"B,C,E,F,I,J,K,L",3C,3F,3E,3K,3I,3B,3J,3L
"B,C,E,F,H,J,K,L",3C,3F,3E,3K,3H,3B,3J,3L
"B,C,E,F,H,I,K,L",3C,3F,3E,3K,3H,3B,3I,3L
"B,C,E,F,H,I,J,L",3C,3F,3E,3I,3H,3B,3J,3L
"B,C,E,F,H,I,J,K",3C,3F,3E,3K,3H,3B,3J,3I
"B,C,E,F,G,J,K,L",3C,3F,3E,3K,3J,3B,3G,3L
"B,C,E,F,G,I,K,L",3C,3F,3E,3K,3I,3B,3G,3L
"B,C,E,F,G,I,J,L",3C,3F,3E,3I,3J,3B,3G,3L
"B,C,E,F,G,I,J,K",3C,3F,3E,3K,3J,3B,3G,3I
"B,C,E,F,G,H,K,L",3C,3F,3E,3K,3H,3B,3G,3L
"B,C,E,F,G,H,J,L",3C,3F,3H,3E,3J,3B,3G,3L
"B,C,E,F,G,H,J,K",3C,3F,3H,3K,3J,3B,3G,3E
"B,C,E,F,G,H,I,L",3C,3F,3E,3I,3H,3B,3G,3L
"B,C,E,F,G,H,I,K",3C,3F,3E,3K,3H,3B,3G,3I
"B,C,E,F,G,H,I,J",3C,3F,3H,3I,3J,3B,3G,3E
"B,C,D,H,I,J,K,L",3C,3D,3H,3K,3I,3B,3J,3L
"B,C,D,G,I,J,K,L",3C,3D,3I,3K,3J,3B,3G,3L
"B,C,D,G,H,J,K,L",3C,3D,3H,3K,3J,3B,3G,3L
"B,C,D,G,H,I,K,L",3C,3D,3H,3K,3I,3B,3G,3L
"B,C,D,G,H,I,J,L",3C,3D,3H,3I,3J,3B,3G,3L
"B,C,D,G,H,I,J,K",3C,3D,3H,3K,3J,3B,3G,3I
"B,C,D,F,I,J,K,L",3D,3F,3C,3K,3I,3B,3J,3L
"B,C,D,F,H,J,K,L",3D,3F,3C,3K,3H,3B,3J,3L
"B,C,D,F,H,I,K,L",3D,3F,3C,3K,3H,3B,3I,3L
"B,C,D,F,H,I,J,L",3D,3F,3C,3I,3H,3B,3J,3L
"B,C,D,F,H,I,J,K",3D,3F,3C,3K,3H,3B,3J,3I
"B,C,D,F,G,J,K,L",3D,3F,3C,3K,3J,3B,3G,3L
"B,C,D,F,G,I,K,L",3D,3F,3C,3K,3I,3B,3G,3L
"B,C,D,F,G,I,J,L",3D,3F,3C,3I,3J,3B,3G,3L
"B,C,D,F,G,I,J,K",3D,3F,3C,3K,3J,3B,3G,3I
"B,C,D,F,G,H,K,L",3D,3F,3C,3K,3H,3B,3G,3L
"B,C,D,F,G,H,J,L",3D,3F,3C,3J,3H,3B,3G,3L
"B,C,D,F,G,H,J,K",3C,3F,3H,3K,3J,3B,3G,3D
"B,C,D,F,G,H,I,L",3D,3F,3C,3I,3H,3B,3G,3L
"B,C,D,F,G,H,I,K",3D,3F,3C,3K,3H,3B,3G,3I
"B,C,D,F,G,H,I,J",3C,3F,3H,3I,3J,3B,3G,3D
"B,C,D,E,I,J,K,L",3C,3D,3E,3K,3I,3B,3J,3L
"B,C,D,E,H,J,K,L",3C,3D,3E,3K,3H,3B,3J,3L
"B,C,D,E,H,I,K,L",3C,3D,3E,3K,3H,3B,3I,3L
"B,C,D,E,H,I,J,L",3C,3D,3E,3I,3H,3B,3J,3L
"B,C,D,E,H,I,J,K",3C,3D,3E,3K,3H,3B,3J,3I
"B,C,D,E,G,J,K,L",3C,3D,3E,3K,3J,3B,3G,3L
"B,C,D,E,G,I,K,L",3C,3D,3E,3K,3I,3B,3G,3L
"B,C,D,E,G,I,J,L",3C,3D,3E,3I,3J,3B,3G,3L
"B,C,D,E,G,I,J,K",3C,3D,3E,3K,3J,3B,3G,3I
"B,C,D,E,G,H,K,L",3C,3D,3E,3K,3H,3B,3G,3L
"B,C,D,E,G,H,J,L",3C,3D,3H,3E,3J,3B,3G,3L
"B,C,D,E,G,H,J,K",3C,3D,3H,3K,3J,3B,3G,3E
"B,C,D,E,G,H,I,L",3C,3D,3E,3I,3H,3B,3G,3L
"B,C,D,E,G,H,I,K",3C,3D,3E,3K,3H,3B,3G,3I
"B,C,D,E,G,H,I,J",3C,3D,3H,3I,3J,3B,3G,3E
"B,C,D,E,F,J,K,L",3D,3F,3C,3K,3E,3B,3J,3L
"B,C,D,E,F,I,K,L",3D,3F,3C,3K,3I,3B,3E,3L
"B,C,D,E,F,I,J,L",3D,3F,3C,3I,3E,3B,3J,3L
"B,C,D,E,F,I,J,K",3D,3F,3C,3K,3E,3B,3J,3I
"B,C,D,E,F,H,K,L",3D,3F,3C,3K,3H,3B,3E,3L
"B,C,D,E,F,H,J,L",3D,3F,3C,3E,3H,3B,3J,3L
"B,C,D,E,F,H,J,K",3D,3F,3C,3K,3H,3B,3J,3E
"B,C,D,E,F,H,I,L",3D,3F,3C,3I,3H,3B,3E,3L
"B,C,D,E,F,H,I,K",3D,3F,3C,3K,3H,3B,3E,3I
"B,C,D,E,F,H,I,J",3D,3F,3C,3I,3H,3B,3J,3E
"B,C,D,E,F,G,K,L",3D,3F,3C,3K,3E,3B,3G,3L
"B,C,D,E,F,G,J,L",3D,3F,3C,3E,3J,3B,3G,3L
"B,C,D,E,F,G,J,K",3D,3F,3C,3K,3J,3B,3G,3E
"B,C,D,E,F,G,I,L",3D,3F,3C,3I,3E,3B,3G,3L
"B,C,D,E,F,G,I,K",3D,3F,3C,3K,3E,3B,3G,3I
"B,C,D,E,F,G,I,J",3D,3F,3C,3I,3J,3B,3G,3E
"B,C,D,E,F,G,H,L",3D,3F,3C,3E,3H,3B,3G,3L
"B,C,D,E,F,G,H,K",3D,3F,3C,3K,3H,3B,3G,3E
"B,C,D,E,F,G,H,J",3C,3F,3H,3E,3J,3B,3G,3D
"B,C,D,E,F,G,H,I",3D,3F,3C,3I,3H,3B,3G,3E
"A,F,G,H,I,J,K,L",3F,3G,3H,3K,3A,3I,3J,3L
"A,E,G,H,I,J,K,L",3A,3G,3E,3K,3H,3I,3J,3L
"A,E,F,H,I,J,K,L",3F,3H,3E,3K,3A,3I,3J,3L
"A,E,F,G,I,J,K,L",3F,3G,3E,3K,3A,3I,3J,3L
"A,E,F,G,H,J,K,L",3F,3H,3E,3K,3A,3J,3G,3L
"A,E,F,G,H,I,K,L",3F,3H,3E,3K,3A,3I,3G,3L
"A,E,F,G,H,I,J,L",3F,3H,3E,3I,3A,3J,3G,3L
"A,E,F,G,H,I,J,K",3F,3H,3E,3K,3A,3J,3G,3I
"A,D,G,H,I,J,K,L",3D,3G,3H,3K,3A,3I,3J,3L
"A,D,F,H,I,J,K,L",3D,3F,3H,3K,3A,3I,3J,3L
"A,D,F,G,I,J,K,L",3D,3F,3I,3K,3A,3J,3G,3L
"A,D,F,G,H,J,K,L",3D,3F,3H,3K,3A,3J,3G,3L
"A,D,F,G,H,I,K,L",3D,3F,3H,3K,3A,3I,3G,3L
"A,D,F,G,H,I,J,L",3D,3F,3H,3I,3A,3J,3G,3L
"A,D,F,G,H,I,J,K",3D,3F,3H,3K,3A,3J,3G,3I
"A,D,E,H,I,J,K,L",3D,3H,3E,3K,3A,3I,3J,3L
"A,D,E,G,I,J,K,L",3D,3G,3E,3K,3A,3I,3J,3L
"A,D,E,G,H,J,K,L",3D,3H,3E,3K,3A,3J,3G,3L
"A,D,E,G,H,I,K,L",3D,3H,3E,3K,3A,3I,3G,3L
"A,D,E,G,H,I,J,L",3D,3H,3E,3I,3A,3J,3G,3L
"A,D,E,G,H,I,J,K",3D,3H,3E,3K,3A,3J,3G,3I
"A,D,E,F,I,J,K,L",3D,3F,3E,3K,3A,3I,3J,3L
"A,D,E,F,H,J,K,L",3D,3F,3H,3K,3A,3E,3J,3L
"A,D,E,F,H,I,K,L",3D,3F,3H,3K,3A,3I,3E,3L
"A,D,E,F,H,I,J,L",3D,3F,3H,3I,3A,3E,3J,3L
"A,D,E,F,H,I,J,K",3D,3F,3H,3K,3A,3E,3J,3I
"A,D,E,F,G,J,K,L",3D,3F,3E,3K,3A,3J,3G,3L
"A,D,E,F,G,I,K,L",3D,3F,3E,3K,3A,3I,3G,3L
"A,D,E,F,G,I,J,L",3D,3F,3E,3I,3A,3J,3G,3L
"A,D,E,F,G,I,J,K",3D,3F,3E,3K,3A,3J,3G,3I
"A,D,E,F,G,H,K,L",3D,3F,3H,3K,3A,3E,3G,3L
"A,D,E,F,G,H,J,L",3D,3F,3H,3E,3A,3J,3G,3L
"A,D,E,F,G,H,J,K",3D,3F,3H,3K,3A,3J,3G,3E
"A,D,E,F,G,H,I,L",3D,3F,3H,3I,3A,3E,3G,3L
"A,D,E,F,G,H,I,K",3D,3F,3H,3K,3A,3E,3G,3I
"A,D,E,F,G,H,I,J",3D,3F,3H,3I,3A,3J,3G,3E
"A,C,G,H,I,J,K,L",3C,3G,3H,3K,3A,3I,3J,3L
"A,C,F,H,I,J,K,L",3C,3F,3H,3K,3A,3I,3J,3L
"A,C,F,G,I,J,K,L",3C,3F,3I,3K,3A,3J,3G,3L
"A,C,F,G,H,J,K,L",3C,3F,3H,3K,3A,3J,3G,3L
"A,C,F,G,H,I,K,L",3C,3F,3H,3K,3A,3I,3G,3L
"A,C,F,G,H,I,J,L",3C,3F,3H,3I,3A,3J,3G,3L
"A,C,F,G,H,I,J,K",3C,3F,3H,3K,3A,3J,3G,3I
"A,C,E,H,I,J,K,L",3C,3H,3E,3K,3A,3I,3J,3L
"A,C,E,G,I,J,K,L",3C,3G,3E,3K,3A,3I,3J,3L
"A,C,E,G,H,J,K,L",3C,3H,3E,3K,3A,3J,3G,3L
"A,C,E,G,H,I,K,L",3C,3H,3E,3K,3A,3I,3G,3L
"A,C,E,G,H,I,J,L",3C,3H,3E,3I,3A,3J,3G,3L
"A,C,E,G,H,I,J,K",3C,3H,3E,3K,3A,3J,3G,3I
"A,C,E,F,I,J,K,L",3C,3F,3E,3K,3A,3I,3J,3L
"A,C,E,F,H,J,K,L",3C,3F,3H,3K,3A,3E,3J,3L
"A,C,E,F,H,I,K,L",3C,3F,3H,3K,3A,3I,3E,3L
"A,C,E,F,H,I,J,L",3C,3F,3H,3I,3A,3E,3J,3L
"A,C,E,F,H,I,J,K",3C,3F,3H,3K,3A,3E,3J,3I
"A,C,E,F,G,J,K,L",3C,3F,3E,3K,3A,3J,3G,3L
"A,C,E,F,G,I,K,L",3C,3F,3E,3K,3A,3I,3G,3L
"A,C,E,F,G,I,J,L",3C,3F,3E,3I,3A,3J,3G,3L
"A,C,E,F,G,I,J,K",3C,3F,3E,3K,3A,3J,3G,3I
"A,C,E,F,G,H,K,L",3C,3F,3H,3K,3A,3E,3G,3L
"A,C,E,F,G,H,J,L",3C,3F,3H,3E,3A,3J,3G,3L
"A,C,E,F,G,H,J,K",3C,3F,3H,3K,3A,3J,3G,3E
"A,C,E,F,G,H,I,L",3C,3F,3H,3I,3A,3E,3G,3L
"A,C,E,F,G,H,I,K",3C,3F,3H,3K,3A,3E,3G,3I
"A,C,E,F,G,H,I,J",3C,3F,3H,3I,3A,3J,3G,3E
"A,C,D,H,I,J,K,L",3C,3D,3H,3K,3A,3I,3J,3L
"A,C,D,G,I,J,K,L",3C,3D,3I,3K,3A,3J,3G,3L
"A,C,D,G,H,J,K,L",3C,3D,3H,3K,3A,3J,3G,3L
"A,C,D,G,H,I,K,L",3C,3D,3H,3K,3A,3I,3G,3L
"A,C,D,G,H,I,J,L",3C,3D,3H,3I,3A,3J,3G,3L
"A,C,D,G,H,I,J,K",3C,3D,3H,3K,3A,3J,3G,3I
"A,C,D,F,I,J,K,L",3D,3F,3C,3K,3A,3I,3J,3L
"A,C,D,F,H,J,K,L",3C,3D,3H,3K,3A,3F,3J,3L
"A,C,D,F,H,I,K,L",3C,3D,3H,3K,3A,3I,3F,3L
"A,C,D,F,H,I,J,L",3C,3D,3H,3I,3A,3F,3J,3L
"A,C,D,F,H,I,J,K",3C,3D,3H,3K,3A,3F,3J,3I
"A,C,D,F,G,J,K,L",3D,3F,3C,3K,3A,3J,3G,3L
"A,C,D,F,G,I,K,L",3D,3F,3C,3K,3A,3I,3G,3L
"A,C,D,F,G,I,J,L",3D,3F,3C,3I,3A,3J,3G,3L
"A,C,D,F,G,I,J,K",3D,3F,3C,3K,3A,3J,3G,3I
"A,C,D,F,G,H,K,L",3C,3D,3H,3K,3A,3F,3G,3L
"A,C,D,F,G,H,J,L",3D,3F,3C,3H,3A,3J,3G,3L
